2Theta,Intensity
22.99213,671
23.02242,719
23.0527,783
23.08299,766
23.11328,805
23.14356,816
23.17385,852
23.20414,908
23.23442,1022
23.26471,1337
23.295,1732
23.32528,2293
23.35557,2782
23.38586,2688
23.41614,2257
23.44643,1617
23.47672,1172
23.507,894
23.53729,731
23.56758,701
23.59786,678
23.62815,684
23.65844,665
23.68872,643
23.71901,624
23.7493,601
23.77958,601
23.80987,612
23.84016,579
23.87044,588
23.90073,635
23.93102,676
23.9613,780
23.99159,827
24.02188,1066
24.05216,1354
24.08245,1769
24.11274,1815
24.14302,1601
24.17331,1330
24.2036,980
24.23388,803
24.26417,703
24.29446,700
24.32474,750
24.35503,836
24.38532,1028
24.4156,1588
24.44589,2327
24.47618,3115
24.50646,3601
24.53675,3598
24.56704,3197
24.59732,2780
24.62761,2607
24.6579,2397
24.68818,2379
24.71847,2435
24.74876,2471
24.77904,2112
24.80933,1865
24.83962,1719
24.8699,1364
24.90019,1191
24.93048,941
24.96076,815
24.99105,860
25.02134,989
25.05162,1195
25.08191,1197
25.1122,1174
25.14248,1113
25.17277,1106
25.20306,1301
25.23334,1720
25.26363,2089
25.29392,2144
25.3242,1997
25.35449,1727
25.38478,1447
25.41506,1304
25.44535,1357
25.47564,1246
25.50592,1161
25.53621,1101
25.5665,954
25.59678,952
25.62707,853
25.65736,892
25.68764,1018
25.71793,1084
25.74822,1215
25.7785,1589
25.80879,2145
25.83908,2946
25.86936,4164
25.89965,5752
25.92994,5826
25.96022,5330
25.99051,4421
26.0208,3523
26.05108,2884
26.08137,2346
26.11166,1907
26.14194,1570
26.17223,1379
26.20252,1211
26.2328,1217
26.26309,1248
26.29338,1320
26.32366,1481
26.35395,1577
26.38424,1645
26.41452,1689
26.44481,1730
26.4751,1964
26.50538,2139
26.53567,2731
26.56596,3665
26.59624,4316
26.62653,4011
26.65682,3704
26.6871,2979
26.71739,2272
26.74768,1813
26.77796,1641
26.80825,1512
26.83854,1435
26.86882,1308
26.89911,1263
26.9294,1202
26.95968,1237
26.98997,1197
27.02026,1242
27.05054,1341
27.08083,1517
27.11112,1620
27.1414,1895
27.17169,2161
27.20198,2411
27.23226,3107
27.26255,3821
27.29284,4497
27.32312,4867
27.35341,4702
27.3837,4213
27.41398,4421
27.44427,5114
27.47456,7281
27.50484,15213
27.53513,44044
27.56542,98939
27.5957,97454
27.62599,75903
27.65628,62273
27.68656,31782
27.71685,14416
27.74714,7763
27.77742,5025
27.80771,3900
27.838,3323
27.86828,2971
27.89857,2726
27.92886,2548
27.95914,2252
27.98943,1982
28.01972,1722
28.05,1568
28.08029,1541
28.11058,1409
28.14086,1406
28.17115,1330
28.20144,1391
28.23172,1180
28.26201,1098
28.2923,1028
28.32258,976
28.35287,948
28.38316,951
28.41344,929
28.44373,934
28.47402,980
28.5043,998
28.53459,1043
28.56488,1134
28.59516,1023
28.62545,1011
28.65574,970
28.68602,923
28.71631,1013
28.7466,927
28.77688,847
28.80717,862
28.83746,929
28.86774,1023
28.89803,1118
28.92832,1207
28.9586,1432
28.98889,1434
29.01918,1440
29.04946,1379
29.07975,1177
29.11004,1147
29.14032,1082
29.17061,1014
29.2009,1003
29.23118,1021
29.26147,1030
29.29176,994
29.32204,949
29.35233,818
29.38262,833
29.4129,859
29.44319,940
29.47348,858
29.50376,929
29.53405,1121
29.56434,1676
29.59462,2757
29.62491,4305
29.6552,5937
29.68548,5620
29.71577,4472
29.74606,3809
29.77634,2579
29.80663,1783
29.83692,1510
29.8672,1492
29.89749,1453
29.92778,1466
29.95806,1457
29.98835,1396
30.01864,1261
30.04892,1122
30.07921,1032
30.1095,898
30.13978,914
30.17007,762
30.20036,821
30.23064,745
30.26093,722
